,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
0,"Lil Nas,",Old Town Road,16.47826086956522,1.0,7.0,2019-07-06,"April 5, 2019","Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap",Billy Ray Cyrus
1,"Shawn Mendes, Camila Cabello",Senorita,41.73684210526316,,,2019-07-06,"June 21, 2019",Pop,
2,Billie Eilish,Bad Guy,48.0,2.0,13.0,2019-07-06,"March 29, 2019","Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop",
3,Khalid,Talk,34.41463414634146,3.0,20.0,2019-07-06,"February 7, 2019","Synth-Pop,Pop",
4,"Ed Sheeran, Justin Bieber",I Don't Care,38.9,2.0,7.0,2019-07-06,"May 10, 2019","Canada,UK,Dance,Dance-Pop,Pop",
5,Jonas Brothers,Sucker,19.46153846153846,1.0,17.0,2019-07-06,"March 1, 2019","Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop",
6,DaBaby,Suge,86.0,7.0,13.0,2019-07-06,"March 1, 2019","Trap,East Coast,Rap",
7,Drake,Money In The Grave,80.15384615384616,7.0,2.0,2019-07-06,"June 15, 2019","Hip-Hop,Rap,Basketball,NBA,Canada",Rick Ross
8,Chris Brown,No Guidance,57.75,9.0,3.0,2019-07-06,"June 8, 2019","Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B",Drake
9,Post Malone,Wow.,91.4,2.0,27.0,2019-07-06,"December 24, 2018","Memes,Hip-Hop,Trap,Rap",
10,Lizzo,Truth Hurts,100.0,11.0,8.0,2019-07-06,"September 19, 2017","Pop,Rap",
11,"Post Malone, Swae Lee",Sunflower,41.27272727272727,1.0,36.0,2019-07-06,"October 18, 2018","Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop",
12,Taylor Swift,You Need To Calm Down,64.2,2.0,2.0,2019-07-06,"June 14, 2019","Synth-Pop,LGBTQ+,Pop",
13,Shawn Mendes,If I Can't Have You,65.0,2.0,8.0,2019-07-06,"May 3, 2019","Canada,Teen Pop,Pop",
14,"Sam Smith, Normani",Dancing With A Stranger,88.54545454545455,7.0,24.0,2019-07-06,"January 11, 2019","UK,Pop",
15,Lil Nas X,Panini,57.4375,,,2019-07-06,"June 20, 2019","Memes,Atlanta,Hip-Hop,Trap,Rap",
16,Halsey,Without Me,90.0,1.0,38.0,2019-07-06,"October 4, 2018","Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative",
17,Blake Shelton,God's Country,87.0,18.0,13.0,2019-07-06,"March 29, 2019",Country,
18,Polo G,Pop Out,34.9,11.0,14.0,2019-07-06,"January 13, 2019","Trap,Rap",Lil Tjay
19,Nicki Minaj,MEGATRON,90.92307692307692,,,2019-07-06,"June 21, 2019","East Coast,Hip-Hop,Rap",
20,Ava Max,Sweet But Psycho,81.25,10.0,28.0,2019-07-06,"August 17, 2018","Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop",
21,"Lil Nas X, Cardi B",Rodeo,83.0,,,2019-07-06,"June 21, 2019","Country,Atlanta,East Coast,Trap,Country Rap,Hip-Hop,Rap",
22,Ariana Grande,7 Rings,84.66666666666667,1.0,23.0,2019-07-06,"January 18, 2019","Memes,Trap,R&;B,Pop",
23,Panic! At The Disco,"Hey Look Ma, I Made It",48.4,24.0,11.0,2019-07-06,"June 22, 2018","Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop",
24,"Marshmello, Bastille",Happier,67.54545454545455,2.0,45.0,2019-07-06,"August 17, 2018","Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop",
25,Lee Brice,Rumor,34.0,25.0,16.0,2019-07-06,"November 3, 2017",Country,
26,Katy Perry,Never Really Over,90.83333333333333,15.0,4.0,2019-07-06,"May 31, 2019","Electro-Pop,Synth-Pop,Pop",
27,Morgan Wallen,Whiskey Glasses,41.25,17.0,17.0,2019-07-06,"April 27, 2018",Country,
28,Blanco Brown,The Git Up,36.32,29.0,3.0,2019-07-06,"May 2, 2019","Atlanta,Dance,Rap,Country Rap,Country",
29,"Young Thug, J. Cole, Travis Scott",The London,57.25,12.0,5.0,2019-07-06,"May 23, 2019","Hip-Hop,East Coast,Atlanta,Rap",
30,Taylor Swift,ME!,41.857142857142854,2.0,10.0,2019-07-06,"April 26, 2019","Dream-Pop,Bubblegum Pop,Dance-Pop,Pop",Brendon Urie
31,Panic! At The Disco,High Hopes,50.57142857142857,4.0,47.0,2019-07-06,"May 23, 2018","Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop",
32,Luke Combs,Beer Never Broke My Heart,35.45,22.0,8.0,2019-07-06,"May 8, 2019","Rock,Country",
33,City Girls,Act Up,16.217391304347824,26.0,17.0,2019-07-06,"November 16, 2018","Motown,East Coast,Rap",
34,"benny blanco, Halsey, Khalid",Eastside,99.0,9.0,50.0,2019-07-06,"July 12, 2018","R&;B,Pop",
35,J. Cole,Middle Child,37.4,4.0,23.0,2019-07-06,"January 23, 2019","Trap,East Coast,Rap",
36,"Daddy Yankee, Katy Perry",Con Calma,25.304347826086957,22.0,21.0,2019-07-06,"April 19, 2019","Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music",Snow
37,"Mustard, Migos",Pure Water,90.14285714285714,23.0,22.0,2019-07-06,"January 16, 2019","Atlanta,Trap,West Coast,Motown,Rap",
38,Ed Sheeran,Cross Me,85.2,34.0,5.0,2019-07-06,"May 24, 2019","Rap,R&;B,UK,Pop","Chance The Rapper, PnB Rock"
39,Meek Mill,Going Bad,58.65625,6.0,30.0,2019-07-06,"November 30, 2018","East Coast,Canada,Rap",Drake
40,Khalid,Better,21.4390243902439,8.0,41.0,2019-07-06,"September 14, 2018","Electro-Pop,Pop,R&;B",
41,"Lady Gaga, Bradley Cooper",Shallow,92.0,1.0,39.0,2019-07-06,"September 27, 2018","Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop",
42,Cardi B,Press,37.90909090909091,16.0,4.0,2019-07-06,"May 31, 2019","Hardcore Hip-Hop,Trap,Hip-Hop,Rap",
43,Dan + Shay,Speechless,20.65,24.0,27.0,2019-07-06,"May 18, 2018",Country,
44,Travis Scott,Sicko Mode,74.0,1.0,47.0,2019-07-06,"August 3, 2018","Hip-Hop,Memes,Rap,Canada,Trap",
45,"Tyler, The Creator",Earfquake,94.44444444444444,13.0,6.0,2019-07-06,"May 17, 2019","Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic",
46,A Boogie Wit da Hoodie,Look Back At It,66.0,27.0,29.0,2019-07-06,"December 7, 2018","Pop,Rap",
47,NLE Choppa,Shotta Flow,90.0,48.0,10.0,2019-07-06,"January 17, 2019",Rap,
48,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",82.0,2.0,20.0,2019-07-06,"February 8, 2019","Trap,Trip-Hop,Lo-Fi,R&;B,Pop",
49,Halsey,Nightmare,86.0,15.0,6.0,2019-07-06,"May 17, 2019","Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop",
50,"YG, Tyga, Jon Z",Go Loko,78.66666666666667,49.0,8.0,2019-07-06,"May 3, 2019","Trap,Puerto Rico,West Coast,Rap",
51,Lewis Capaldi,Someone You Loved,92.0,53.0,7.0,2019-07-06,"November 8, 2018","UK,Pop",
52,Thomas Rhett,Look What God Gave Her,69.0,32.0,17.0,2019-07-06,"March 1, 2019",Country,
53,Jonas Brothers,Cool,26.238095238095237,27.0,12.0,2019-07-06,"April 5, 2019","Teen Pop,Pop-Rock,Pop",
54,Offset,Clout,95.0,39.0,12.0,2019-07-06,"February 22, 2019","East Coast,Motown,Rap",Cardi B
55,"Marshmello, Kane Brown",One Thing Right,29.0,,,2019-07-06,"June 21, 2019",Pop,
56,Kane Brown,Good As You,55.1875,36.0,18.0,2019-07-06,"October 19, 2018",Country,
57,YK Osiris,Worth It,57.6,52.0,19.0,2019-07-06,"February 8, 2019","Rap,East Coast,R&;B",
58,DJ Khaled,Just Us,66.0,43.0,6.0,2019-07-06,"May 16, 2019","Rap,R&;B",SZA
59,Luke Bryan,Knockin' Boots,48.0,59.0,9.0,2019-07-06,"March 29, 2019",Country,
60,P!nk,Walk Me Home,42.0,49.0,17.0,2019-07-06,"February 20, 2019",Pop,
61,Maren Morris,GIRL,28.25,59.0,17.0,2019-07-06,"January 17, 2019","Pop,Country,Pop Country",
62,5 Seconds Of Summer,Easier,81.5,48.0,5.0,2019-07-06,"May 23, 2019","Australia,Pop",
63,"Cardi B, Bruno Mars",Please Me,42.3,3.0,19.0,2019-07-06,"February 15, 2019","Rap,East Coast,West Coast,Soul Pop,R&;B,Pop",
64,Eric Church,Some Of It,23.142857142857142,65.0,5.0,2019-07-06,"October 5, 2018",Country,
65,Dan + Shay,All To Myself,83.0,66.0,8.0,2019-07-06,"May 3, 2018",Country,
66,"Bad Bunny, Tainy",Callaita,42.666666666666664,68.0,3.0,2019-07-06,"May 31, 2019","Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol",
67,Meek Mill,24/7,97.0,54.0,12.0,2019-07-06,"November 30, 2018","East Coast,UK,R&;B,Rap",Ella Mai
68,Ali Gatie,It's You,73.0,70.0,2.0,2019-07-06,"June 14, 2019",R&;B,
69,Jason Aldean,Rearview Town,17.55,68.0,5.0,2019-07-06,"March 16, 2018",Country,
70,Lil Baby,Out The Mud,27.1,,,2019-07-06,"June 21, 2019","Atlanta,Trap,Rap",Future
71,"The Chainsmokers, Bebe Rexha",Call You Mine,6.565217391304348,67.0,4.0,2019-07-06,"May 31, 2019","Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop",
72,"Summer Walker, Drake",Girls Need Love,43.4,37.0,18.0,2019-07-06,"February 27, 2019","Atlanta,Canada,Remix,R&;B",
73,"Lunay, Daddy Yankee, Bad Bunny",Soltera,22.25,73.0,7.0,2019-07-06,"May 10, 2019","Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop",
74,Florida Georgia Line,Talk You Out Of It,27.95,73.0,19.0,2019-07-06,"July 6, 2018",Country,
75,SHAED,Trampoline,79.0,77.0,4.0,2019-07-06,"May 18, 2018",Pop,
76,"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,59.333333333333336,78.0,5.0,2019-07-06,"March 15, 2019","Hip-Hop,Rap",
77,Beyonce,Before I Let Go,33.0,65.0,10.0,2019-07-06,"April 17, 2019","Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B",
78,DJ Khaled,Wish Wish,88.0,19.0,6.0,2019-07-06,"May 17, 2019","Atlanta,Trap,Rap","Cardi B, 21 Savage"
