,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
0,"Lil Nas,",OLD TOWN ROAD,16.47826086956522,1.0,7.0,"Country,Atlanta,Alternative Country,Hip-Hop,Trap,Memes,Remix,Country Rap,Rap"
1,"Shawn Mendes, Camila Cabello",SENORITA,41.73684210526316,,,Pop
2,Billie Eilish,BAD GUY,48.0,2.0,13.0,"Hip-Hop,Dark Pop,House,Trap,Memes,Alternative Dance,Alternative,Alternative Pop,Dance-Pop,Dance,Electro-Pop,Electro,Pop"
3,Khalid,TALK,34.41463414634146,3.0,20.0,"Synth-Pop,Pop"
4,"Ed Sheeran, Justin Bieber",I DON'T CARE,38.9,2.0,7.0,"Canada,UK,Dance,Dance-Pop,Pop"
5,Jonas Brothers,SUCKER,19.46153846153846,1.0,17.0,"Alternative Pop,Boy Band,Teen Pop,Pop-Rock,Pop"
6,DaBaby,SUGE,86.0,7.0,13.0,"Trap,East Coast,Rap"
7,Drake,MONEY IN THE GRAVE,80.15384615384616,7.0,2.0,"Hip-Hop,Rap,Basketball,NBA,Canada"
8,Chris Brown,NO GUIDANCE,57.75,9.0,3.0,"Alternative R&;B,Hip-Hop,Rap,Pop,DMV,Canada,R&;B"
9,Post Malone,WOW.,91.4,2.0,27.0,"Memes,Hip-Hop,Trap,Rap"
10,Lizzo,TRUTH HURTS,100.0,11.0,8.0,"Pop,Rap"
11,"Post Malone, Swae Lee",SUNFLOWER,41.27272727272727,1.0,36.0,"Rap,Disney,Hip-Hop,Marvel,Soundtrack,R&;B,Pop"
12,Taylor Swift,YOU NEED TO CALM DOWN,64.2,2.0,2.0,"Synth-Pop,LGBTQ+,Pop"
13,Shawn Mendes,IF I CAN'T HAVE YOU,65.0,2.0,8.0,"Canada,Teen Pop,Pop"
14,"Sam Smith, Normani",DANCING WITH A STRANGER,88.54545454545455,7.0,24.0,"UK,Pop"
15,Lil Nas X,PANINI,57.4375,,,"Memes,Atlanta,Hip-Hop,Trap,Rap"
16,Halsey,WITHOUT ME,90.0,1.0,38.0,"Synth-Pop,R&;B,Alternative Pop,Ballad,Pop,Alternative"
17,Blake Shelton,GOD'S COUNTRY,87.0,18.0,13.0,Country
18,Polo G,POP OUT,34.9,11.0,14.0,"Trap,Rap"
19,Nicki Minaj,MEGATRON,90.92307692307692,,,"East Coast,Hip-Hop,Rap"
20,Ava Max,SWEET BUT PSYCHO,81.25,10.0,28.0,"Dance-Pop,Dance,Electronic Pop,Electro,R&;B,Electronic,Electro-Pop,UK,Pop"
21,"Lil Nas X, Cardi B",RODEO,83.0,,,"Country,Atlanta,East Coast,Trap,Country Rap,Hip-Hop,Rap"
22,Ariana Grande,7 RINGS,84.66666666666667,1.0,23.0,"Memes,Trap,R&;B,Pop"
23,Panic! At The Disco,"HEY LOOK MA, I MADE IT",48.4,24.0,11.0,"Pop-Rock,Jazz Fusion,Alternative,Alternative Pop,Electro-Pop,Pop"
24,"Marshmello, Bastille",HAPPIER,67.54545454545455,2.0,45.0,"Adult Alternative,Producer,Alternative Dance,Alternative Pop,Alternative Rock,Adult Contemporary,Electro-Pop,Future Bass,Electronic,Dance,Pop"
25,Lee Brice,RUMOR,34.0,25.0,16.0,Country
26,Katy Perry,NEVER REALLY OVER,90.83333333333333,15.0,4.0,"Electro-Pop,Synth-Pop,Pop"
27,Morgan Wallen,WHISKEY GLASSES,41.25,17.0,17.0,Country
28,Blanco Brown,THE GIT UP,36.32,29.0,3.0,"Atlanta,Dance,Rap,Country Rap,Country"
29,"Young Thug, J. Cole, Travis Scott",THE LONDON,57.25,12.0,5.0,"Hip-Hop,East Coast,Atlanta,Rap"
30,Taylor Swift,ME!,41.857142857142854,2.0,10.0,"Dream-Pop,Bubblegum Pop,Dance-Pop,Pop"
31,Panic! At The Disco,HIGH HOPES,50.57142857142857,4.0,47.0,"Adult Alternative,Rock,Power Pop,Pop-Rock,Alternative,Alternative Rock,Classical Crossover,Electro-Pop,Alternative Pop,Pop"
32,Luke Combs,BEER NEVER BROKE MY HEART,35.45,22.0,8.0,"Rock,Country"
33,City Girls,ACT UP,16.217391304347824,26.0,17.0,"Motown,East Coast,Rap"
34,"benny blanco, Halsey, Khalid",EASTSIDE,99.0,9.0,50.0,"R&;B,Pop"
35,J. Cole,MIDDLE CHILD,37.4,4.0,23.0,"Trap,East Coast,Rap"
36,"Daddy Yankee, Katy Perry",CON CALMA,25.304347826086957,22.0,21.0,"Latin Pop,Dancehall,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music"
37,"Mustard, Migos",PURE WATER,90.14285714285714,23.0,22.0,"Atlanta,Trap,West Coast,Motown,Rap"
38,Ed Sheeran,CROSS ME,85.2,34.0,5.0,"Rap,R&;B,UK,Pop"
39,Meek Mill,GOING BAD,58.65625,6.0,30.0,"East Coast,Canada,Rap"
40,Khalid,BETTER,21.4390243902439,8.0,41.0,"Electro-Pop,Pop,R&;B"
41,"Lady Gaga, Bradley Cooper",SHALLOW,92.0,1.0,39.0,"Pop Country,Folk,Musicals,Screen,Pop-Rock,Soundtrack,Pop"
42,Cardi B,PRESS,37.90909090909091,16.0,4.0,"Hardcore Hip-Hop,Trap,Hip-Hop,Rap"
43,Dan + Shay,SPEECHLESS,20.65,24.0,27.0,Country
44,Travis Scott,SICKO MODE,74.0,1.0,47.0,"Hip-Hop,Memes,Rap,Canada,Trap"
45,"Tyler, The Creator",EARFQUAKE,94.44444444444444,13.0,6.0,"Hip-Hop,Atlanta,Alternative R&;B,Experimental,Neo Soul,R&;B,Rap,Neo-Psychedelia,Alternative,Psychedelic"
46,A Boogie Wit da Hoodie,LOOK BACK AT IT,66.0,27.0,29.0,"Pop,Rap"
47,NLE Choppa,SHOTTA FLOW,90.0,48.0,10.0,Rap
48,Ariana Grande,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED",82.0,2.0,20.0,"Trap,Trip-Hop,Lo-Fi,R&;B,Pop"
49,Halsey,NIGHTMARE,86.0,15.0,6.0,"Alternative Rock,Alternative Pop,Alternative,Pop-Punk,Pop"
50,"YG, Tyga, Jon Z",GO LOKO,78.66666666666667,49.0,8.0,"Trap,Puerto Rico,West Coast,Rap"
51,Lewis Capaldi,SOMEONE YOU LOVED,92.0,53.0,7.0,"UK,Pop"
52,Thomas Rhett,LOOK WHAT GOD GAVE HER,69.0,32.0,17.0,Country
53,Jonas Brothers,COOL,26.238095238095237,27.0,12.0,"Teen Pop,Pop-Rock,Pop"
54,Offset,CLOUT,95.0,39.0,12.0,"East Coast,Motown,Rap"
55,"Marshmello, Kane Brown",ONE THING RIGHT,29.0,,,Pop
56,Kane Brown,GOOD AS YOU,55.1875,36.0,18.0,Country
57,YK Osiris,WORTH IT,57.6,52.0,19.0,"Rap,East Coast,R&;B"
58,DJ Khaled,JUST US,66.0,43.0,6.0,"Rap,R&;B"
59,Luke Bryan,KNOCKIN' BOOTS,48.0,59.0,9.0,Country
60,P!nk,WALK ME HOME,42.0,49.0,17.0,Pop
61,Maren Morris,GIRL,28.25,59.0,17.0,"Pop,Country,Pop Country"
62,5 Seconds Of Summer,EASIER,81.5,48.0,5.0,"Australia,Pop"
63,"Cardi B, Bruno Mars",PLEASE ME,42.3,3.0,19.0,"Rap,East Coast,West Coast,Soul Pop,R&;B,Pop"
64,Eric Church,SOME OF IT,23.142857142857142,65.0,5.0,Country
65,Dan + Shay,ALL TO MYSELF,83.0,66.0,8.0,Country
66,"Bad Bunny, Tainy",CALLAITA,42.666666666666664,68.0,3.0,"Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol"
67,Meek Mill,24/7,97.0,54.0,12.0,"East Coast,UK,R&;B,Rap"
68,Ali Gatie,IT'S YOU,73.0,70.0,2.0,R&;B
