,Name,Artist,grammy_win
0,THIS IS AMERICA,CHILDISH GAMBINO,1
1,JOANNE (WHERE DO YOU THINK YOU'RE GOIN'?),LADY GAGA,1
2,SHALLOW,"LADY GAGA, BRADLEY COOPER",1
3,ELECTRICITY,"SILK CITY, DUA LIPA",1
4,WHEN BAD DOES GOOD,CHRIS CORNELL,1
5,ELECTRIC MESSIAH,HIGH ON FIRE,1
6,MASSEDUCTION,ST VINCENT,1
7,BEST PART,DANIEL CAESAR,1
8,HOW DEEP IS YOUR LOVE,PJ MORTON FEATURING YEBBA,1
9,BOO'D UP,ELLA MAI,1
10,BUBBLIN,ANDERSON PAAK,1
11,GOD'S PLAN,DRAKE,1
12,BUTTERFLIES,KACEY MUSGRAVES,1
13,TEQUILA,DAN + SHAY,1
14,SPACE COWBOY,KACEY MUSGRAVES,1
15,DON'T FENCE ME IN,"JOHN DAVERSA, SOLOISTREGINA CARTER, SOLOISTFRED HERSCH, SOLOISTBRAD MEHLDAU, SOLOISTMIGUEL ZENÓN, SOLOIST",1
16,NEVER ALONE,"TORI KELLY FEATURING KIRK FRANKLIN; KIRK FRANKLIN & VICTORIA KELLY, SONGWRITERSJEKALYN CARR; ALLEN CARR & JEKALYN CARR, SONGWRITERSKORYN HAWTHORNEJONATHAN MCREYNOLDS FEATURING DOE; JONATHAN MCREYNOLDS & WILL REAGAN, SONGWRITERSBRIAN COURTNEY WILSON; AARON W LINDSEY, ALVIN RICHARDSON & BRIAN COURTNEY WILSON, SONGWRITERS",1
