,Artist,Name,Genre,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,grammy_win
0,LIL NAS X,OLD TOWN ROAD,"COUNTRY,ATLANTA,ALTERNATIVE COUNTRY,HIP-HOP,TRAP,MEMES,REMIX,COUNTRY RAP,RAP",0.1180934377531731,0.0,0.0588235294117647,0.0
1,"SHAWN MENDES, CAMILA CABELLO",SENORITA,POP,0.3847989539065054,0.136734693877551,0.2094117647058823,0.0
2,BILLIE EILISH,BAD GUY,"HIP-HOP,DARK POP,HOUSE,TRAP,MEMES,ALTERNATIVE DANCE,ALTERNATIVE,ALTERNATIVE POP,DANCE-POP,DANCE,ELECTRO-POP,ELECTRO,POP",0.4509316770186335,0.010204081632653,0.1294117647058823,0.0
3,KHALID,TALK,"SYNTH-POP,POP",0.3074837145886987,0.0204081632653061,0.2117647058823529,0.0
4,"ED SHEERAN, JUSTIN BIEBER",I DON'T CARE,"CANADA,UK,DANCE,DANCE-POP,POP",0.3548447204968944,0.010204081632653,0.0588235294117647,0.0
5,JONAS BROTHERS,SUCKER,"ALTERNATIVE POP,BOY BAND,TEEN POP,POP-ROCK,POP",0.149593884376493,0.0,0.1764705882352941,0.0
6,DABABY,SUGE,"TRAP,EAST COAST,RAP",0.8521739130434783,0.0612244897959183,0.1294117647058823,0.0
7,DRAKE,MONEY IN THE GRAVE,"HIP-HOP,RAP,BASKETBALL,NBA,CANADA",0.7904443382704254,0.0612244897959183,0.0,0.0
8,CHRIS BROWN,NO GUIDANCE,"ALTERNATIVE R&;B,HIP-HOP,RAP,POP,DMV,CANADA,R&;B",0.5538819875776397,0.0816326530612244,0.0117647058823529,0.0
9,POST MALONE,WOW.,"MEMES,HIP-HOP,TRAP,RAP",0.9091925465838512,0.010204081632653,0.2941176470588235,0.0
10,LIZZO,TRUTH HURTS,"POP,RAP",1.0,0.1020408163265306,0.0705882352941176,0.0
11,"POST MALONE, SWAE LEE",SUNFLOWER,"RAP,DISNEY,HIP-HOP,MARVEL,SOUNDTRACK,R&;B,POP",0.3798983625070582,0.0,0.4,0.0
12,TAYLOR SWIFT,YOU NEED TO CALM DOWN,"SYNTH-POP,LGBTQ+,POP",0.6219875776397517,0.010204081632653,0.0,0.0
13,SHAWN MENDES,IF I CAN'T HAVE YOU,"CANADA,TEEN POP,POP",0.6304347826086957,0.010204081632653,0.0705882352941176,0.0
14,"SAM SMITH, NORMANI",DANCING WITH A STRANGER,"UK,POP",0.8790513833992095,0.0612244897959183,0.2588235294117647,0.0
15,LIL NAS X,PANINI,"MEMES,ATLANTA,HIP-HOP,TRAP,RAP",0.5505822981366459,0.2551020408163265,0.1176470588235294,0.0
16,HALSEY,WITHOUT ME,"SYNTH-POP,R&;B,ALTERNATIVE POP,BALLAD,POP,ALTERNATIVE",0.8944099378881988,0.0,0.4235294117647058,0.0
17,BLAKE SHELTON,GOD'S COUNTRY,COUNTRY,0.8627329192546584,0.173469387755102,0.1294117647058823,0.0
18,POLO G,POP OUT,"TRAP,RAP",0.3126086956521739,0.1020408163265306,0.1411764705882353,0.0
19,NICKI MINAJ,MEGATRON,"EAST COAST,HIP-HOP,RAP",0.9041567128523652,0.1714285714285714,0.2141176470588234,0.0
20,AVA MAX,SWEET BUT PSYCHO,"DANCE-POP,DANCE,ELECTRONIC POP,ELECTRO,R&;B,ELECTRONIC,ELECTRO-POP,UK,POP",0.8020186335403727,0.0918367346938775,0.3058823529411765,0.0
21,"LIL NAS X, CARDI B",RODEO,"COUNTRY,ATLANTA,EAST COAST,TRAP,COUNTRY RAP,HIP-HOP,RAP",0.8204968944099379,0.6061224489795917,0.0635294117647058,0.0
22,ARIANA GRANDE,7 RINGS,"MEMES,TRAP,R&;B,POP",0.8380952380952382,0.0,0.2470588235294117,0.0
23,PANIC! AT THE DISCO,"HEY LOOK MA, I MADE IT","POP-ROCK,JAZZ FUSION,ALTERNATIVE,ALTERNATIVE POP,ELECTRO-POP,POP",0.4551552795031056,0.2346938775510204,0.1058823529411764,0.0
24,"MARSHMELLO, BASTILLE",HAPPIER,"ADULT ALTERNATIVE,PRODUCER,ALTERNATIVE DANCE,ALTERNATIVE POP,ALTERNATIVE ROCK,ADULT CONTEMPORARY,ELECTRO-POP,FUTURE BASS,ELECTRONIC,DANCE,POP",0.657312252964427,0.010204081632653,0.5058823529411764,0.0
25,LEE BRICE,RUMOR,COUNTRY,0.3031055900621118,0.2448979591836734,0.1647058823529411,0.0
26,KATY PERRY,NEVER REALLY OVER,"ELECTRO-POP,SYNTH-POP,POP",0.9032091097308488,0.1428571428571428,0.0235294117647058,0.0
27,MORGAN WALLEN,WHISKEY GLASSES,COUNTRY,0.3796583850931677,0.1632653061224489,0.1764705882352941,0.0
28,BLANCO BROWN,THE GIT UP,"ATLANTA,DANCE,RAP,COUNTRY RAP,COUNTRY",0.3276024844720497,0.2857142857142857,0.0117647058823529,0.0
29,"YOUNG THUG, J. COLE, TRAVIS SCOTT",THE LONDON,"HIP-HOP,EAST COAST,ATLANTA,RAP",0.5486024844720497,0.1122448979591836,0.0352941176470588,0.0
30,TAYLOR SWIFT,ME!,"DREAM-POP,BUBBLEGUM POP,DANCE-POP,POP",0.3860692102928127,0.010204081632653,0.0941176470588235,0.0
