,Unnamed: 0,Artist,Name,Weekly_rank_avg,Peak_Position,Weeks_on_Chart,Genre
0,0,"LIL NAS,",OLD TOWN ROAD,16.47826086956522,1.0,7.0,"COUNTRY,ATLANTA,ALTERNATIVE COUNTRY,HIP-HOP,TRAP,MEMES,REMIX,COUNTRY RAP,RAP"
1,1,"SHAWN MENDES, CAMILA CABELLO",SENORITA,41.73684210526316,,,POP
2,2,BILLIE EILISH,BAD GUY,48.0,2.0,13.0,"HIP-HOP,DARK POP,HOUSE,TRAP,MEMES,ALTERNATIVE DANCE,ALTERNATIVE,ALTERNATIVE POP,DANCE-POP,DANCE,ELECTRO-POP,ELECTRO,POP"
3,3,KHALID,TALK,34.41463414634146,3.0,20.0,"SYNTH-POP,POP"
4,4,"ED SHEERAN, JUSTIN BIEBER",I DON'T CARE,38.9,2.0,7.0,"CANADA,UK,DANCE,DANCE-POP,POP"
5,5,JONAS BROTHERS,SUCKER,19.46153846153846,1.0,17.0,"ALTERNATIVE POP,BOY BAND,TEEN POP,POP-ROCK,POP"
6,6,DABABY,SUGE,86.0,7.0,13.0,"TRAP,EAST COAST,RAP"
7,7,DRAKE,MONEY IN THE GRAVE,80.15384615384616,7.0,2.0,"HIP-HOP,RAP,BASKETBALL,NBA,CANADA"
8,8,CHRIS BROWN,NO GUIDANCE,57.75,9.0,3.0,"ALTERNATIVE R&;B,HIP-HOP,RAP,POP,DMV,CANADA,R&;B"
9,9,POST MALONE,WOW.,91.4,2.0,27.0,"MEMES,HIP-HOP,TRAP,RAP"
10,10,LIZZO,TRUTH HURTS,100.0,11.0,8.0,"POP,RAP"
11,11,"POST MALONE, SWAE LEE",SUNFLOWER,41.27272727272727,1.0,36.0,"RAP,DISNEY,HIP-HOP,MARVEL,SOUNDTRACK,R&;B,POP"
12,12,TAYLOR SWIFT,YOU NEED TO CALM DOWN,64.2,2.0,2.0,"SYNTH-POP,LGBTQ+,POP"
13,13,SHAWN MENDES,IF I CAN'T HAVE YOU,65.0,2.0,8.0,"CANADA,TEEN POP,POP"
14,14,"SAM SMITH, NORMANI",DANCING WITH A STRANGER,88.54545454545455,7.0,24.0,"UK,POP"
15,15,LIL NAS X,PANINI,57.4375,,,"MEMES,ATLANTA,HIP-HOP,TRAP,RAP"
16,16,HALSEY,WITHOUT ME,90.0,1.0,38.0,"SYNTH-POP,R&;B,ALTERNATIVE POP,BALLAD,POP,ALTERNATIVE"
17,17,BLAKE SHELTON,GOD'S COUNTRY,87.0,18.0,13.0,COUNTRY
18,18,POLO G,POP OUT,34.9,11.0,14.0,"TRAP,RAP"
19,19,NICKI MINAJ,MEGATRON,90.92307692307692,,,"EAST COAST,HIP-HOP,RAP"
20,20,AVA MAX,SWEET BUT PSYCHO,81.25,10.0,28.0,"DANCE-POP,DANCE,ELECTRONIC POP,ELECTRO,R&;B,ELECTRONIC,ELECTRO-POP,UK,POP"
21,21,"LIL NAS X, CARDI B",RODEO,83.0,,,"COUNTRY,ATLANTA,EAST COAST,TRAP,COUNTRY RAP,HIP-HOP,RAP"
22,22,ARIANA GRANDE,7 RINGS,84.66666666666667,1.0,23.0,"MEMES,TRAP,R&;B,POP"
23,23,PANIC! AT THE DISCO,"HEY LOOK MA, I MADE IT",48.4,24.0,11.0,"POP-ROCK,JAZZ FUSION,ALTERNATIVE,ALTERNATIVE POP,ELECTRO-POP,POP"
24,24,"MARSHMELLO, BASTILLE",HAPPIER,67.54545454545455,2.0,45.0,"ADULT ALTERNATIVE,PRODUCER,ALTERNATIVE DANCE,ALTERNATIVE POP,ALTERNATIVE ROCK,ADULT CONTEMPORARY,ELECTRO-POP,FUTURE BASS,ELECTRONIC,DANCE,POP"
25,25,LEE BRICE,RUMOR,34.0,25.0,16.0,COUNTRY
26,26,KATY PERRY,NEVER REALLY OVER,90.83333333333331,15.0,4.0,"ELECTRO-POP,SYNTH-POP,POP"
27,27,MORGAN WALLEN,WHISKEY GLASSES,41.25,17.0,17.0,COUNTRY
28,28,BLANCO BROWN,THE GIT UP,36.32,29.0,3.0,"ATLANTA,DANCE,RAP,COUNTRY RAP,COUNTRY"
29,29,"YOUNG THUG, J. COLE, TRAVIS SCOTT",THE LONDON,57.25,12.0,5.0,"HIP-HOP,EAST COAST,ATLANTA,RAP"
30,30,TAYLOR SWIFT,ME!,41.85714285714285,2.0,10.0,"DREAM-POP,BUBBLEGUM POP,DANCE-POP,POP"
31,31,PANIC! AT THE DISCO,HIGH HOPES,50.57142857142857,4.0,47.0,"ADULT ALTERNATIVE,ROCK,POWER POP,POP-ROCK,ALTERNATIVE,ALTERNATIVE ROCK,CLASSICAL CROSSOVER,ELECTRO-POP,ALTERNATIVE POP,POP"
32,32,LUKE COMBS,BEER NEVER BROKE MY HEART,35.45,22.0,8.0,"ROCK,COUNTRY"
33,33,CITY GIRLS,ACT UP,16.217391304347824,26.0,17.0,"MOTOWN,EAST COAST,RAP"
34,34,"BENNY BLANCO, HALSEY, KHALID",EASTSIDE,99.0,9.0,50.0,"R&;B,POP"
35,35,J. COLE,MIDDLE CHILD,37.4,4.0,23.0,"TRAP,EAST COAST,RAP"
36,36,"DADDY YANKEE, KATY PERRY",CON CALMA,25.30434782608696,22.0,21.0,"LATIN POP,DANCEHALL,POP,REGGAETON,EN ESPA\XC3\XB1OL,LATIN URBAN,LATIN MUSIC"
37,37,"MUSTARD, MIGOS",PURE WATER,90.14285714285714,23.0,22.0,"ATLANTA,TRAP,WEST COAST,MOTOWN,RAP"
38,38,ED SHEERAN,CROSS ME,85.2,34.0,5.0,"RAP,R&;B,UK,POP"
39,39,MEEK MILL,GOING BAD,58.65625,6.0,30.0,"EAST COAST,CANADA,RAP"
40,40,KHALID,BETTER,21.4390243902439,8.0,41.0,"ELECTRO-POP,POP,R&;B"
41,41,"LADY GAGA, BRADLEY COOPER",SHALLOW,92.0,1.0,39.0,"POP COUNTRY,FOLK,MUSICALS,SCREEN,POP-ROCK,SOUNDTRACK,POP"
42,42,CARDI B,PRESS,37.90909090909091,16.0,4.0,"HARDCORE HIP-HOP,TRAP,HIP-HOP,RAP"
43,43,DAN + SHAY,SPEECHLESS,20.65,24.0,27.0,COUNTRY
44,44,TRAVIS SCOTT,SICKO MODE,74.0,1.0,47.0,"HIP-HOP,MEMES,RAP,CANADA,TRAP"
45,45,"TYLER, THE CREATOR",EARFQUAKE,94.44444444444444,13.0,6.0,"HIP-HOP,ATLANTA,ALTERNATIVE R&;B,EXPERIMENTAL,NEO SOUL,R&;B,RAP,NEO-PSYCHEDELIA,ALTERNATIVE,PSYCHEDELIC"
46,46,A BOOGIE WIT DA HOODIE,LOOK BACK AT IT,66.0,27.0,29.0,"POP,RAP"
47,47,NLE CHOPPA,SHOTTA FLOW,90.0,48.0,10.0,RAP
48,48,ARIANA GRANDE,"BREAK UP WITH YOUR GIRLFRIEND, I'M BORED",82.0,2.0,20.0,"TRAP,TRIP-HOP,LO-FI,R&;B,POP"
